ID,carbon_footprint
0x42e7,642.6881713336212
0x1950,732.5833040809775
0x20e5,1045.3038223117785
0x4378,768.2099363449671
0x1301,774.5057360533635
0x33b3,571.1504285160001
0x3750,749.425101046522
0x3e50,791.8577332562273
0x10e5,943.1508010384368
0x1924,876.2944859592398
0x51db,1008.0565027575362
0x287d,757.5287181955024
0x113c,687.4129136199713
0x33b4,837.801653882439
0x33ae,952.0607796913816
0x3b50,952.6269088311742
0x3cbc,812.2475226296704
0x14f0,950.4877290009864
0x1c14,1047.6436242705286
0x27ff,764.75451899671
0x4216,667.142658744055
0x19f2,855.0447481484098
0x1f2f,771.9579649488345
0x356d,1169.9560225513019
0x1b61,1139.9592805144046
0x4f49,656.8943858284213
0xe3b,539.8141414753582
0x27d4,1064.3543982830404
0x4379,886.2372424871351
0x11fa,853.9741883588255
0x4784,789.3874612095308
0xb31,539.4444051258992
0x4977,698.9343748599135
0x3986,885.2112784695921
0x3804,896.3330750251004
0x3671,650.8642122853441
0x4d2c,758.6551281087696
0x1382,724.123613369605
0x3524,1084.5939201048557
0x1693,1134.4833092394272
0x444f,984.1570129615754
0x1234,785.137893183151
0x51cb,546.886364259837
0x23a8,842.0053897326738
0x3ca8,672.0290564512311
0x1acd,825.4614633338658
0x26d3,832.5542705497988
0x857,484.38293980541175
0x4712,679.0845447800224
0x4de9,863.184318439779
0x49f9,909.0301665462482
0xf4c,1135.6765342625629
0x457a,607.6812230829706
0x4c88,733.0289737449478
0x5188,938.6356408854823
0x166e,765.5617631525342
0x1b9b,649.9180533459487
0x3cdb,781.2867667642696
0x2835,444.62289241928215
0x49d9,488.65933979202265
0x15f7,764.3788099791634
0x26a0,633.7035843241516
0x2fef,575.7822133422303
0x32ec,865.1181411786747
0x2218,1182.7415006108101
0x45a1,701.3191672053365
0x50cb,644.2846078378772
0x132e,768.0722390910481
0x3f4,991.100235581707
0xbff,1026.6022545027843
0x3514,751.4506862213253
0x4091,1037.3826623109005
0x1432,498.01834759986986
0x3a31,418.5030042933765
0xc37,993.0376926561589
0x3906,953.3909613448899
0x412c,577.8175209127688
0x13da,831.6205935619525
0x1dbe,786.8268975033175
0x591,866.9221079460496
0x3eb8,723.1388301963254
0x931,596.2514419912727
0x484f,977.2663210677064
0x424d,795.0699312162341
0x9f4,734.2335112995103
0x3fba,707.1238655317094
0x3df4,486.64081467574425
0x3f26,892.9611399899962
0x4403,1077.4525085080893
0x3fa7,482.4351098572302
0x258d,840.7022172516425
0x13aa,692.550836964854
0x512e,636.1851933669104
0xc4b,856.1104754553259
0xbeb,749.2827628415688
0x475f,671.5754545362805
0x4a0c,650.3650035620163
0x367f,698.2221928903792
0x1c68,541.4566150866077
0x475a,893.8699234397199
0x20e4,743.5911469358363
0x3f03,465.6911665501533
0x1e5b,595.6703704128195
0x512b,1331.541392231851
0x40bb,610.1308308055585
0x3203,1050.896572692252
0x1a84,511.08252867432975
0x2bc4,804.0118828432165
0x490b,780.7580601850066
0x15c0,787.5019387477067
0x4f80,830.2157079751117
0x4c29,855.2357213894626
0x1e20,932.4856029700466
0xba1,589.7839415779574
0x3fd1,810.3029090118721
0x62f,711.6254931646445
0x4fde,563.8894292710273
0x12dd,611.3972843667036
0x43bf,891.7008719666354
0x4139,752.4213864161451
0x4e01,611.0373500006873
0x22d6,648.2940761670875
0x306c,924.8267010828146
0x2bbb,650.3080264758538
0x4f22,731.7848751589725
0x485,807.744554155325
0x18d1,880.5531071103043
0x3c56,538.6990744751413
0x271e,849.2683291287121
0x48bb,1199.196655688184
0x3e71,630.1295006050693
0x4093,727.3143267994468
0x2104,942.6878706566226
0x29cc,880.1332073324527
0x4c16,674.9511950976054
0x5b6,844.5923101535632
0x1abb,882.0240585623951
0x4726,855.8264332150817
0x1f10,672.1442981873316
0x3962,832.2094214301635
0x4862,825.4338329800355
0xfcc,979.8404384916771
0x10c1,640.47666016287
0x48f3,897.9027982702935
0xb65,588.449668868627
0x2f57,867.8343547791075
0x1f33,793.1900943372494
0x48d4,796.6070285651839
0x45b9,921.2602586018553
0x489d,590.4709942807258
0x4c5f,620.354422977589
0x197b,875.9353864650146
0x295d,605.5992650968927
0x470f,918.8053483520204
0x3947,823.8757579843566
0x1097,741.4342724124311
0x1953,753.6321967413827
0x25ce,765.8623459032628
0xa45,687.1814588941636
0x4df0,817.6984250429679
0xb97,622.8601701057989
0x23e6,867.0807872767325
0x47cc,585.6995639722185
0x470a,781.0994943007264
0x7ba,722.6663966985541
0x4024,1043.195658732152
0x4ec4,776.1446723220738
0x333c,542.039857622176
0x2e4d,939.5617584553535
0x3e5c,593.2700024149636
0x4e25,1101.615113229818
0x2d68,908.2510735047166
0x145c,475.3717449030676
0x428a,1036.4536700464716
0x3f99,870.5189354399581
0x415c,380.7378232272565
0x8aa,822.9840367709081
0x3be0,675.526154792345
0x40ca,574.3193286750562
0x46b3,689.716669855951
0x230e,868.6909477537703
0x9aa,569.0218211078467
0x29df,1133.6244866337502
0x22d7,822.580727711314
0x171b,598.8546030365491
0x216d,759.1160082229446
0x1047,743.3751645108026
0x3b70,999.4328371860366
0x1283,895.52234371267
0x927,699.3113113828522
0x365a,967.3402669457138
0x417c,614.8934399962892
0x46a7,680.1417471512088
0x30cd,721.1927693355124
0x3b7c,967.9743870667073
0xe81,700.3534669898573
0x1a7e,777.3271248455447
0x898,1039.505756639026
0x4dcf,482.4948369089047
0xbd6,708.9373581912508
0x2baa,1089.011888886265
0x1c71,1030.8702065701789
0x3057,1022.1044694267323
0x289e,976.9238027165247
0x4ceb,730.9350747572175
0x10f4,886.4479006766948
0x2eba,615.2538971950391
0x267d,855.5270369945555
0x1b7e,501.0308894825634
0x24bb,969.6859568062312
0x26f9,610.5540589447073
0x3af3,959.5366703881785
0x134c,1055.071028520259
0x308c,739.280533097194
0x2c7b,915.1080311182296
0x4e0,922.2696981667893
0x4755,931.6263881080649
0x95d,987.88553462141
0x41ef,605.7237826504542
0x2eb0,1090.2512313951634
0x395c,1012.3790131535543
0x4fb2,1057.503792788128
0x1865,774.4391203462611
0x1f01,826.3176806824378
0x84c,667.1574552329728
0x2192,669.9064236762902
0x23df,576.5632860786337
0x1ebf,729.6692292190511
0x4165,584.6599117285318
0x12d0,756.5045076228779
0x44cf,672.0631240531914
0x4781,720.5927422653849
0x474a,750.1541470527633
0x45e4,889.7250290609537
0x3e82,598.981672975059
0x4160,898.7629962270088
0x423,610.9094823201792
0x30df,574.5322057097969
0x34ea,742.7129601229493
0x165b,517.2622847274605
0x111b,832.5323836527772
0x4bab,545.5831802513884
0x2265,639.9971897692419
0x3f3a,550.3760051147264
0x31cd,1125.0292020311322
0x3f9e,864.569205532108
0xcd9,796.089677953018
0x3b9e,581.9688834522558
0x4d37,528.5895074794631
0x4a71,726.0143688981291
0x4620,665.8682300702394
0x3adb,764.4344935912995
0x3261,584.5180705061218
0xfe8,686.7074547211398
0x39ca,666.6703651250501
0x3c6e,803.3566521151791
0x15ad,457.42074168812667
0x1b21,792.5105625018144
